ID,Player,Position,Age,Height ,Weight,Team,Against,Injury,Concussion,Home_Away,Games_Missed,Week of Injury,Injured
1611,Greg Salas,WR,27,74,210,Det,Null,None,0,Null,0,0,0
2206,Greg Scruggs,DL,25,75,310,Sea,Null,None,0,Null,0,0,0
1096,Greg Toler,DB,30,72,190,Ind,Null,None,0,Null,0,0,0
2278,Greg Warren,OL,34,75,252,Pit,Null,None,0,Null,0,0,0
1957,Greg Zuerlein,K,28,72,196,LAR,Null,None,0,Null,0,0,0
1101,Griff Whalen,WR,25,71,190,Ind,Null,None,0,Null,0,0,0
1645,Ha Ha Clinton-Dix,DB,23,73,208,GB,Null,None,0,Null,0,0,0
2390,Hakeem Nicks,WR,27,73,208,Ten,Null,None,0,Null,0,0,0
1599,Haloti Ngata,DL,31,76,340,Det,Null,None,0,Null,0,0,0
1321,Harland Gunn,OL,26,74,310,Atl,Null,None,0,Null,0,0,0
301,Harrison Smith,DB,26,74,214,Min,Chi,Concussion,1,0,0,1,1
2360,Harry Douglas,WR,31,72,183,Ten,Null,None,0,Null,0,0,0
2127,Hau'oli Kikaha,LB,31,75,246,NO,Null,None,0,Null,0,0,0
760,Hayes Pullard,LB,23,73,240,Cle,Null,None,0,Null,0,0,0
2260,Heath Miller,TE,33,77,256,Pit,Null,None,0,Null,0,0,0
1084,Henoc Muamba,LB,26,72,242,Ind,Null,None,0,Null,0,0,0
1042,Henry Anderson,DL,24,78,294,Ind,Null,None,0,Null,0,0,0
1401,Henry Hynoski,RB,27,73,266,NYG,Null,None,0,Null,0,0,0
821,Henry Melton,DL,29,75,290,TB,Null,None,0,Null,0,0,0
474,Hroniss Grasu,OL,24,75,297,Chi,Null,None,0,Null,0,0,0
1094,Hugh Thornton,OL,24,75,336,Ind,Null,None,0,Null,0,0,0
973,Husain Abdullah,DB,30,72,204,KC,Null,None,0,Null,0,0,0
433,Ian Silberman,OL,23,77,294,SF,Null,None,0,Null,0,0,0
445,Ian Williams,DL,26,73,305,SF,Null,None,0,Null,0,0,0
